episode,score,reward,moves,max_tile,epsilon
1,1348,13.479999999999992,139,128,0.998
2,1168,11.679999999999987,126,128,0.996004
3,2296,22.959999999999965,192,256,0.994011992
4,996,9.959999999999997,118,64,0.992023968016
5,688,6.880000000000003,90,64,0.990039920079968
6,1056,10.559999999999999,115,128,0.9880598402398081
7,1312,13.11999999999999,137,128,0.9860837205593285
8,704,7.040000000000004,97,64,0.9841115531182099
9,2244,22.43999999999998,187,256,0.9821433300119734
10,1092,10.919999999999991,117,128,0.9801790433519495
11,848,8.479999999999999,102,64,0.9782186852652456
12,2616,26.15999999999995,220,256,0.976262247894715
13,1204,12.039999999999992,121,128,0.9743097233989256
14,1228,12.279999999999994,128,128,0.9723611039521278
15,1460,14.599999999999985,154,128,0.9704163817442236
16,1068,10.68,115,128,0.9684755489807352
17,2492,24.91999999999996,208,256,0.9665385978827737
18,720,7.200000000000002,87,64,0.9646055206870082
19,712,7.120000000000003,95,64,0.9626763096456342
20,1072,10.719999999999994,117,128,0.9607509570263429
21,704,7.040000000000003,93,64,0.9588294551122902
22,2384,23.83999999999996,196,256,0.9569117962020657
23,664,6.640000000000003,91,64,0.9549979726096616
24,588,5.880000000000003,82,64,0.9530879766644422
25,436,4.360000000000001,63,64,0.9511818007111134
26,796,7.9600000000000035,95,64,0.9492794371096911
27,1476,14.759999999999987,154,128,0.9473808782354717
28,1276,12.759999999999994,127,128,0.9454861164790007
29,292,2.920000000000001,56,32,0.9435951442460427
30,1312,13.119999999999989,132,128,0.9417079539575507
31,1152,11.519999999999996,123,128,0.9398245380496356
32,968,9.679999999999994,116,64,0.9379448889735363
33,508,5.080000000000002,71,64,0.9360689991955893
34,732,7.320000000000003,97,64,0.9341968611971981
35,1360,13.599999999999987,141,128,0.9323284674748037
36,612,6.120000000000003,84,64,0.930463810539854
37,1016,10.159999999999995,119,64,0.9286028829187744
38,1404,14.039999999999987,148,128,0.9267456771529368
39,596,5.960000000000003,83,64,0.9248921857986309
40,2184,21.83999999999998,187,256,0.9230424014270336
41,1032,10.319999999999997,108,128,0.9211963166241796
42,232,2.3200000000000003,46,32,0.9193539239909312
43,652,6.520000000000003,85,64,0.9175152161429493
44,2392,23.919999999999963,201,256,0.9156801857106633
45,684,6.840000000000003,85,64,0.913848825339242
46,652,6.520000000000003,85,64,0.9120211276885636
47,1104,11.040000000000001,115,128,0.9101970854331864
48,960,9.600000000000001,99,128,0.9083766912623201
49,1192,11.919999999999996,120,128,0.9065599378797955
50,2168,21.679999999999982,181,256,0.9047468180040359
51,992,9.919999999999996,107,128,0.9029373243680279
