episode,score,reward,moves,max_tile,epsilon
1,632,23.969999999999995,81,64,0.49386626223946
2,732,29.26999999999999,97,64,0.49381687561323606
3,504,20.54,72,64,0.49376749392567476
4,1156,40.909999999999954,127,128,0.4937181171762822
5,1408,47.17999999999992,142,128,0.4936687453645646
6,1544,51.28999999999993,153,128,0.4936193784900282
7,1488,51.92999999999991,157,128,0.4935700165521792
8,1428,49.82999999999993,151,128,0.493520659550524
9,552,21.520000000000003,74,64,0.49347130748456897
10,632,25.77,87,64,0.4934219603538205
11,492,21.420000000000005,76,32,0.49337261815778516
12,1372,47.51999999999994,144,128,0.4933232808959694
13,604,24.540000000000003,84,64,0.4932739485678798
14,660,25.099999999999994,84,64,0.493224621173023
15,660,26.1,88,64,0.4931752987109057
16,1024,35.33999999999998,110,128,0.4931259811810346
17,1064,37.23999999999996,116,128,0.49307666858291654
18,808,31.58,104,64,0.49302736091605825
19,1360,45.79999999999994,138,128,0.49297805817996665
20,1120,40.24999999999995,125,128,0.4929287603741487
21,1496,51.30999999999991,155,128,0.4928794674981113
22,1444,47.73999999999995,142,128,0.4928301795513615
23,1176,39.05999999999997,118,128,0.49278089653340634
24,2452,74.91999999999989,210,256,0.492731618443753
25,996,33.75999999999999,104,128,0.49268234528190863
26,1476,50.20999999999992,151,128,0.49263307704738046
27,720,28.199999999999996,94,64,0.49258381373967575
28,652,25.62,86,64,0.49253455535830176
29,644,26.88999999999999,91,64,0.49248530190276596
30,700,27.750000000000004,93,64,0.4924360533725757
31,1372,46.01999999999993,138,128,0.4923868097672384
32,848,31.679999999999986,102,64,0.4923375710862617
33,596,23.660000000000004,80,64,0.49228833732915306
34,1652,56.369999999999926,169,128,0.49223910849542013
35,492,21.569999999999993,77,32,0.4921898845845706
36,2612,75.06999999999988,205,256,0.49214066559611214
37,1180,41.599999999999945,128,128,0.4920914515295525
38,2300,68.6999999999999,192,256,0.4920422423843996
39,540,21.300000000000008,74,64,0.49199303816016116
40,1400,47.89999999999995,144,128,0.49194383885634513
41,960,35.59999999999999,114,64,0.4918946444724595
42,1096,38.55999999999997,120,128,0.49184545500801224
43,1044,36.88999999999997,115,128,0.49179627046251145
44,2128,63.47999999999989,178,256,0.4917470908354652
45,1324,45.53999999999993,138,128,0.49169791612638164
46,1084,37.13999999999997,114,128,0.491648746334769
47,1560,52.79999999999992,158,128,0.49159958146013555
48,184,10.390000000000002,45,16,0.4915504215019895
49,1132,39.169999999999945,121,128,0.4915012664598393
50,1448,49.82999999999992,151,128,0.49145211633319336
51,496,20.76000000000001,74,32,0.49140297112156006
52,1840,60.09999999999988,176,128,0.4913538308244479
53,616,24.609999999999996,83,64,0.49130469544136546
54,720,28.949999999999992,97,64,0.4912555649718213
55,1552,53.819999999999894,162,128,0.49120643941532416
56,496,21.06,74,32,0.49115731877138263
57,792,30.769999999999992,101,64,0.4911082030395055
58,1412,47.71999999999993,144,128,0.4910590922192015
59,708,28.679999999999982,96,64,0.4910099863099796
60,776,29.959999999999987,98,64,0.4909608853113486
61,1160,40.94999999999994,127,128,0.4909117892228175
62,616,23.410000000000007,79,64,0.4908626980438952
63,1304,43.83999999999994,132,128,0.49081361177409083
64,1336,45.90999999999995,139,128,0.4907645304129134
65,1668,55.22999999999992,163,128,0.4907154539598721
66,696,27.31,91,64,0.49066638241447613
67,1092,38.46999999999998,119,128,0.4906173157762347
68,436,19.909999999999997,71,32,0.4905682540446571
69,1084,37.93999999999995,118,128,0.49051919721925263
70,1248,41.829999999999956,127,128,0.4904701452995307
71,1668,55.779999999999916,166,128,0.49042109828500074
72,368,16.28000000000001,60,32,0.49037205617517227
73,456,18.759999999999998,66,64,0.49032301896955477
74,1208,40.87999999999995,124,128,0.4902739866676578
75,1496,52.05999999999991,158,128,0.49022495926899107
76,1240,42.44999999999995,129,128,0.49017593677306415
77,576,23.209999999999997,79,64,0.49012691917938683
78,664,26.139999999999997,88,64,0.4900779064874689
79,588,23.63,81,64,0.49002889869682015
80,1072,35.96999999999997,111,128,0.48997989580695045
81,700,26.749999999999996,89,64,0.48993089781736976
82,1068,37.12999999999997,115,128,0.489881904727588
83,1380,46.09999999999994,138,128,0.48983291653711525
84,928,35.02999999999997,113,64,0.48978393324546154
85,1464,49.98999999999993,151,128,0.489734954852137
86,1388,46.72999999999993,141,128,0.4896859813566518
87,404,18.439999999999998,68,32,0.4896370127585162
88,848,31.179999999999996,100,64,0.48958804905724035
89,1448,49.57999999999992,150,128,0.4895390902523346
90,764,28.539999999999992,94,64,0.4894901363433094
91,652,26.869999999999994,91,64,0.48944118732967506
92,1136,39.65999999999995,122,128,0.4893922432109421
93,1440,50.199999999999925,152,128,0.489343303986621
94,536,21.560000000000002,74,64,0.48929436965622236
95,2356,70.70999999999991,197,256,0.48924544021925676
96,1352,46.319999999999936,140,128,0.4891965156752348
97,1416,48.609999999999935,147,128,0.4891475960236673
98,596,24.41,83,64,0.48909868126406497
99,1084,37.13999999999997,114,128,0.4890497713959386
100,1068,37.52999999999998,117,128,0.489000866418799
101,844,32.13999999999999,104,64,0.4889519663321571
102,2088,62.32999999999988,175,256,0.4889030711355239
103,984,33.69,105,128,0.48885418082841037
104,868,32.12999999999999,103,64,0.4888052954103275
105,588,23.98,82,64,0.48875641488078647
106,1332,45.41999999999994,138,128,0.4887075392392984
107,696,27.460000000000008,92,64,0.4886586684853745
108,584,23.59000000000001,81,64,0.48860980261852593
109,1128,38.97999999999996,120,128,0.4885609416382641
110,868,32.18,104,64,0.48851208554410025
111,684,26.839999999999996,90,64,0.48846323433554584
112,1116,39.20999999999997,121,128,0.4884143880121123
113,816,31.159999999999997,102,64,0.4883655465733111
114,1412,48.669999999999945,147,128,0.4883167100186538
115,1352,46.31999999999993,140,128,0.48826787834765195
116,1572,52.76999999999991,157,128,0.4882190515598172
117,1300,43.599999999999945,132,128,0.4881702296546612
118,1416,49.709999999999916,151,128,0.4881214126316958
119,1288,43.47999999999995,132,128,0.4880726004904326
120,1280,43.74999999999994,133,128,0.4880237932303836
121,744,29.94,100,64,0.48797499085106055
122,748,30.12999999999999,101,64,0.48792619335197546
123,700,26.35,87,64,0.48787740073264024
124,912,34.219999999999985,110,64,0.48782861299256697
125,1184,41.68999999999994,129,128,0.48777983013126774
126,912,34.169999999999995,109,64,0.48773105214825463
127,728,28.98,96,64,0.4876822790430398
128,672,26.97,91,64,0.4876335108151355
129,752,30.11999999999999,100,64,0.487584747464054
130,752,29.97,99,64,0.4875359889893076
131,1460,49.79999999999992,150,128,0.48748723539040867
132,1136,40.65999999999996,126,128,0.4874384866668696
133,264,12.39,49,32,0.48738974281820296
134,1172,39.06999999999997,119,128,0.48734100384392115
135,2080,62.99999999999985,178,256,0.4872922697435368
136,1304,44.08999999999995,133,128,0.48724354051656243
137,1016,35.20999999999997,109,128,0.48719481616251076
138,1232,42.66999999999993,131,128,0.48714609668089454
139,584,23.590000000000007,81,64,0.48709738207122644
140,2916,87.1099999999999,241,256,0.4870486723330193
141,828,32.22999999999999,105,64,0.486999967465786
142,1200,40.299999999999955,122,128,0.48695126746903944
143,1048,36.52999999999997,113,128,0.48690257234229256
144,1388,48.329999999999934,147,128,0.48685388208505836
145,1316,45.60999999999995,139,128,0.48680519669684985
146,1756,56.75999999999989,166,128,0.4867565161771802
147,832,32.51999999999998,106,64,0.4867078405255625
148,1516,51.90999999999992,155,128,0.4866591697415099
149,588,23.63000000000001,81,64,0.48661050382453575
150,1412,48.66999999999993,147,128,0.4865618427741533
151,1356,45.909999999999926,139,128,0.4865131865898759
152,1288,43.92999999999995,133,128,0.4864645352712169
153,1396,49.25999999999993,150,128,0.4864158888176898
154,180,9.150000000000002,39,32,0.4863672472288081
155,276,13.61,53,32,0.4863186105040852
156,1592,55.21999999999989,166,128,0.4862699786430348
157,956,35.55999999999997,114,64,0.4862213516451705
158,736,29.009999999999987,97,64,0.486172729510006
159,828,32.62999999999999,107,64,0.48612411223705504
160,480,21.65,77,32,0.4860754998258313
161,484,20.34,72,64,0.4860268922758487
162,2168,66.07999999999993,186,256,0.48597828958662115
163,1140,39.249999999999964,121,128,0.4859296917576625
164,1392,47.869999999999926,145,128,0.48588109878848673
165,824,31.389999999999986,103,64,0.4858325106786079
166,2396,72.40999999999984,203,256,0.48578392742754
167,284,13.690000000000005,53,32,0.48573534903479726
168,588,23.82999999999999,81,64,0.4856867754998938
169,1308,43.97999999999994,132,128,0.4856382068223438
170,1252,44.369999999999926,137,128,0.4855896430016616
171,652,25.67,87,64,0.4855410840373614
172,816,32.109999999999985,105,64,0.4854925299289577
173,948,35.67999999999997,114,64,0.4854439806759648
174,532,20.919999999999998,72,64,0.48539543627789716
175,1192,42.21999999999994,130,128,0.4853468967342694
176,348,16.380000000000003,62,32,0.485298362044596
177,1288,43.67999999999994,132,128,0.4852498322083915
178,1188,41.22999999999996,127,128,0.4852013072251707
179,1020,35.24999999999998,109,128,0.4851527870944482
180,780,30.0,98,64,0.4851042718157388
181,848,31.68,102,64,0.4850557613885572
182,696,27.80999999999999,93,64,0.4850072558124184
183,1136,39.309999999999974,121,128,0.48495875508683717
184,2180,66.24999999999989,187,256,0.48491025921132846
185,1000,33.94999999999998,105,128,0.4848617681854073
186,1096,37.759999999999955,116,128,0.4848132820085888
187,712,28.36999999999999,95,64,0.48476480068038796
188,668,25.679999999999996,86,64,0.4847163242003199
189,1548,53.529999999999916,161,128,0.4846678525678999
190,768,30.43,101,64,0.48461938578264313
191,2100,63.19999999999987,178,256,0.48457092384406486
192,2000,65.0499999999999,189,128,0.4845224667516805
193,1316,43.959999999999965,132,128,0.4844740145050053
194,1492,51.96999999999991,157,128,0.48442556710355483
195,1484,50.43999999999991,152,128,0.4843771245468445
196,1480,51.349999999999916,155,128,0.48432868683438984
197,1172,41.06999999999996,127,128,0.4842802539657064
198,832,33.069999999999986,109,64,0.48423182594030983
199,1440,48.24999999999992,145,128,0.4841834027577158
200,1244,42.139999999999965,128,128,0.4841349844174401
201,720,28.849999999999987,97,64,0.4840865709189983
202,1328,45.32999999999996,137,128,0.48403816226190644
203,456,18.560000000000006,66,64,0.48398975844568026
204,1040,38.79999999999996,124,64,0.4839413594698357
205,420,18.350000000000005,67,32,0.4838929653338887
206,1200,40.29999999999997,122,128,0.4838445760373553
