episode,score,reward,moves,max_tile,epsilon
1,632,6.320000000000002,88,64,0.89991
2,1100,10.999999999999995,118,128,0.899820009
3,700,7.000000000000002,83,64,0.8997300269991001
4,1032,10.32,109,128,0.8996400539964002
5,928,9.279999999999998,99,128,0.8995500899910006
6,720,7.200000000000003,97,64,0.8994601349820015
7,1308,13.079999999999988,134,128,0.8993701889685033
8,1564,15.639999999999985,159,128,0.8992802519496065
9,656,6.560000000000002,90,64,0.8991903239244116
10,1132,11.319999999999991,121,128,0.8991004048920191
11,884,8.840000000000003,106,64,0.89901049485153
12,780,7.800000000000003,98,64,0.8989205938020448
13,452,4.520000000000001,64,64,0.8988307017426647
14,1764,17.63999999999998,167,128,0.8987408186724904
15,636,6.360000000000002,88,64,0.8986509445906232
16,1116,11.159999999999991,118,128,0.8985610794961642
17,712,7.120000000000004,96,64,0.8984712233882145
18,384,3.840000000000001,62,32,0.8983813762658757
19,844,8.440000000000003,102,64,0.8982915381282491
20,1072,10.719999999999994,112,128,0.8982017089744363
21,952,9.52,105,128,0.8981118888035389
22,1056,10.56,114,128,0.8980220776146586
23,1360,13.599999999999989,136,128,0.8979322754068971
24,684,6.840000000000003,90,64,0.8978424821793565
25,888,8.88,108,64,0.8977526979311385
26,664,6.640000000000002,88,64,0.8976629226613454
27,516,5.160000000000002,79,32,0.8975731563690793
28,840,8.4,101,64,0.8974833990534424
29,1412,14.11999999999999,144,128,0.897393650713537
30,1368,13.679999999999987,144,128,0.8973039113484657
31,572,5.720000000000002,79,64,0.8972141809573309
32,1080,10.799999999999988,119,128,0.8971244595392351
33,252,2.5200000000000005,51,32,0.8970347470932812
34,1592,15.919999999999986,159,128,0.896945043618572
35,1372,13.719999999999988,143,128,0.8968553491142102
36,988,9.879999999999997,119,64,0.8967656635792988
37,1336,13.35999999999999,139,128,0.8966759870129408
38,324,3.240000000000001,60,32,0.8965863194142395
39,420,4.200000000000001,67,32,0.8964966607822981
40,552,5.520000000000001,77,64,0.8964070111162198
41,1412,14.119999999999987,146,128,0.8963173704151082
42,760,7.600000000000003,103,64,0.8962277386780667
43,1224,12.239999999999995,128,128,0.8961381159041989
44,1280,12.799999999999994,130,128,0.8960485020926084
45,1280,12.79999999999999,131,128,0.8959588972423992
46,1112,11.119999999999996,116,128,0.895869301352675
47,536,5.360000000000002,74,64,0.8957797144225397
48,616,6.160000000000002,84,64,0.8956901364510974
49,624,6.240000000000002,86,64,0.8956005674374523
50,920,9.199999999999998,112,64,0.8955110073807085
51,1588,15.879999999999985,159,128,0.8954214562799705
52,988,9.879999999999995,119,64,0.8953319141343425
53,380,3.800000000000001,63,32,0.8952423809429291
54,2348,23.479999999999958,197,256,0.8951528567048348
55,1376,13.75999999999999,138,128,0.8950633414191643
56,1384,13.839999999999987,142,128,0.8949738350850224
57,1040,10.399999999999993,111,128,0.8948843377015139
58,1352,13.519999999999998,140,128,0.8947948492677438
59,1128,11.279999999999998,121,128,0.894705369782817
60,1580,15.799999999999988,158,128,0.8946158992458387
61,168,1.68,41,16,0.8945264376559141
62,728,7.280000000000003,96,64,0.8944369850121485
63,1260,12.59999999999999,135,128,0.8943475413136474
64,1152,11.519999999999994,122,128,0.894258106559516
65,2120,21.199999999999967,191,128,0.89416868074886
66,2900,28.999999999999957,239,256,0.8940792638807852
67,1192,11.919999999999991,129,128,0.8939898559543971
68,1752,17.519999999999985,166,128,0.8939004569688016
69,972,9.719999999999995,116,64,0.8938110669231047
70,2252,22.51999999999998,189,256,0.8937216858164124
71,680,6.8000000000000025,92,64,0.8936323136478308
72,780,7.800000000000004,101,64,0.893542950416466
73,1044,10.439999999999992,112,128,0.8934535961214244
