episode,score,reward,moves,max_tile,epsilon
1,1152,11.519999999999992,116,128,0.9
2,868,8.679999999999998,91,128,0.9
3,696,6.9600000000000035,92,64,0.9
4,1052,10.52,113,128,0.9
5,1136,11.359999999999996,123,128,0.9
6,640,6.400000000000002,86,64,0.9
7,620,6.200000000000002,85,64,0.9
8,660,6.600000000000003,87,64,0.9
9,500,5.000000000000002,72,64,0.9
10,716,7.160000000000003,94,64,0.9
11,1548,15.479999999999995,146,128,0.9
12,328,3.280000000000001,59,32,0.9
13,1272,12.719999999999999,129,128,0.9
14,596,5.960000000000003,79,64,0.9
15,768,7.680000000000003,101,64,0.9
16,668,6.680000000000003,92,64,0.9
17,1268,12.679999999999987,128,128,0.9
18,2344,23.439999999999966,192,256,0.9
19,804,8.040000000000004,104,64,0.9
20,744,7.440000000000004,100,64,0.9
21,980,9.799999999999997,104,128,0.9
22,1128,11.279999999999996,121,128,0.9
23,672,6.720000000000002,89,64,0.9
24,1660,16.599999999999977,166,128,0.9
25,1156,11.559999999999997,127,128,0.9
26,1328,13.279999999999989,137,128,0.9
27,2360,23.599999999999955,200,256,0.9
28,644,6.440000000000003,89,64,0.9
29,672,6.720000000000001,87,64,0.9
30,1404,14.039999999999985,146,128,0.9
31,1276,12.759999999999996,130,128,0.9
32,160,1.6000000000000003,40,16,0.9
33,1360,13.599999999999987,141,128,0.9
34,1100,11.0,117,128,0.9
35,2440,24.39999999999998,208,256,0.9
36,1440,14.399999999999983,152,128,0.9
37,1396,13.959999999999994,143,128,0.9
38,504,5.040000000000001,72,64,0.9
39,1444,14.439999999999984,149,128,0.9
40,684,6.840000000000002,89,64,0.9
41,540,5.400000000000002,74,64,0.9
42,712,7.120000000000003,86,64,0.9
43,1208,12.079999999999993,122,128,0.9
44,1148,11.479999999999992,122,128,0.9
45,612,6.120000000000002,84,64,0.9
46,1012,10.119999999999997,122,64,0.9
47,548,5.480000000000002,76,64,0.9
48,1140,11.399999999999993,123,128,0.9
49,1124,11.239999999999993,120,128,0.9
50,1704,17.039999999999985,171,128,0.9
51,1524,15.239999999999988,154,128,0.9
52,280,2.8000000000000007,53,32,0.9
53,456,4.560000000000001,76,32,0.9
54,700,7.000000000000003,93,64,0.9
55,2424,24.239999999999952,205,256,0.9
56,436,4.360000000000001,72,32,0.9
57,2008,20.079999999999977,166,256,0.9
58,1276,12.759999999999994,130,128,0.9
59,328,3.280000000000001,61,32,0.9
60,1264,12.639999999999993,126,128,0.9
61,1336,13.35999999999999,140,128,0.9
62,484,4.840000000000002,77,32,0.9
63,1396,13.959999999999988,143,128,0.9
64,568,5.6800000000000015,77,64,0.9
65,844,8.44,102,64,0.9
66,960,9.599999999999998,114,64,0.9
67,724,7.240000000000004,95,64,0.9
68,2636,26.35999999999996,225,256,0.9
69,1196,11.959999999999992,126,128,0.9
70,288,2.8800000000000012,55,32,0.9
71,1584,15.839999999999986,158,128,0.9
72,1316,13.159999999999997,136,128,0.9
73,640,6.400000000000002,87,64,0.9
74,928,9.279999999999994,113,64,0.9
75,636,6.360000000000003,86,64,0.9
76,696,6.9600000000000035,93,64,0.9
77,2120,21.199999999999974,182,256,0.9
78,824,8.240000000000004,97,64,0.9
79,672,6.720000000000003,90,64,0.9
80,1028,10.279999999999998,120,64,0.9
81,1504,15.039999999999985,150,128,0.9
82,608,6.080000000000003,82,64,0.9
83,1364,13.639999999999985,142,128,0.9
84,1440,14.399999999999983,145,128,0.9
85,988,9.879999999999995,105,128,0.9
86,1424,14.239999999999988,146,128,0.9
87,628,6.280000000000002,87,64,0.9
88,1052,10.519999999999998,113,128,0.9
89,1164,11.639999999999993,126,128,0.9
90,1056,10.559999999999993,114,128,0.9
91,2268,22.67999999999998,186,256,0.9
92,1788,17.87999999999998,172,128,0.9
93,1960,19.599999999999977,188,128,0.9
94,1296,12.959999999999994,131,128,0.9
95,2164,21.639999999999983,175,256,0.9
96,924,9.24,112,64,0.9
97,1340,13.399999999999983,141,128,0.9
98,676,6.7600000000000025,88,64,0.9
99,952,9.520000000000003,112,64,0.9
100,1156,11.559999999999992,123,128,0.9
101,1504,15.03999999999998,160,128,0.9
102,704,7.040000000000003,94,64,0.9
103,2236,22.359999999999967,185,256,0.9
104,876,8.759999999999998,104,64,0.9
105,444,4.440000000000002,67,32,0.9
106,1472,14.719999999999992,152,128,0.9
107,1380,13.799999999999994,146,128,0.9
108,1040,10.399999999999997,110,128,0.9
109,1276,12.759999999999993,131,128,0.9
110,1452,14.519999999999987,152,128,0.9
111,320,3.200000000000001,59,32,0.9
112,648,6.480000000000003,86,64,0.9
113,648,6.480000000000003,85,64,0.9
114,2136,21.35999999999998,181,256,0.9
115,388,3.8800000000000017,64,32,0.9
116,972,9.719999999999999,98,128,0.9
117,364,3.6400000000000006,61,32,0.9
118,316,3.160000000000001,58,32,0.9
119,1188,11.879999999999992,130,128,0.9
120,640,6.400000000000003,87,64,0.9
121,780,7.800000000000003,100,64,0.9
122,2020,20.199999999999974,168,256,0.9
123,596,5.960000000000003,81,64,0.9
124,1368,13.67999999999999,143,128,0.9
125,2992,29.91999999999994,245,256,0.9
126,788,7.880000000000003,94,64,0.9
127,1144,11.439999999999998,124,128,0.9
128,1464,14.639999999999986,150,128,0.9
129,2588,25.879999999999956,217,256,0.9
130,532,5.320000000000002,76,64,0.9
131,728,7.280000000000002,90,64,0.9
132,956,9.559999999999997,103,128,0.9
133,952,9.519999999999998,115,64,0.9
134,1436,14.359999999999987,147,128,0.9
135,1312,13.11999999999999,134,128,0.9
136,696,6.960000000000002,91,64,0.9
137,348,3.4800000000000004,59,32,0.9
138,1304,13.039999999999988,132,128,0.9
139,1532,15.31999999999999,160,128,0.9
140,692,6.9200000000000035,91,64,0.9
141,900,8.999999999999998,108,64,0.9
142,1344,13.439999999999992,136,128,0.9
143,320,3.2000000000000006,58,32,0.9
144,1244,12.439999999999989,133,128,0.9
145,1232,12.319999999999991,126,128,0.9
146,1148,11.479999999999995,124,128,0.9
147,488,4.880000000000002,66,64,0.9
148,1248,12.479999999999995,127,128,0.9
149,744,7.440000000000004,99,64,0.9
150,1288,12.879999999999992,132,128,0.9
151,1168,11.67999999999999,128,128,0.9
152,1132,11.319999999999997,120,128,0.9
153,684,6.8400000000000025,90,64,0.9
154,1408,14.079999999999993,145,128,0.9
155,268,2.680000000000001,51,32,0.9
156,680,6.800000000000003,92,64,0.9
157,1592,15.91999999999998,160,128,0.9
158,588,5.880000000000003,82,64,0.9
159,744,7.440000000000003,90,64,0.9
160,1564,15.639999999999985,159,128,0.9
161,1328,13.279999999999989,138,128,0.9
162,596,5.960000000000003,83,64,0.9
163,544,5.440000000000001,76,64,0.9
164,1376,13.759999999999984,140,128,0.9
165,652,6.520000000000003,85,64,0.9
166,400,4.000000000000001,67,32,0.9
167,660,6.600000000000002,91,64,0.9
168,1560,15.599999999999982,159,128,0.9
169,1216,12.159999999999988,126,128,0.9
170,528,5.280000000000002,72,64,0.9
171,1608,16.079999999999984,170,128,0.9
172,1164,11.639999999999997,124,128,0.9
173,272,2.720000000000001,52,32,0.9
174,316,3.160000000000001,58,32,0.9
175,900,8.999999999999995,111,64,0.9
176,896,8.96,112,64,0.9
177,1660,16.599999999999987,168,128,0.9
178,1316,13.159999999999991,135,128,0.9
179,564,5.640000000000002,78,64,0.9
180,1496,14.95999999999999,159,128,0.9
181,2608,26.079999999999956,218,256,0.9
182,1344,13.43999999999999,138,128,0.9
183,968,9.679999999999998,115,64,0.9
184,1064,10.639999999999999,110,128,0.9
185,2400,23.999999999999957,202,256,0.9
186,808,8.080000000000004,104,64,0.9
