Episode    1 | score=  2216 | reward=   22.16 | moves= 192 | max_tile=  256 | eps=0.997
Episode    2 | score=   912 | reward=    9.12 | moves=  99 | max_tile=  128 | eps=0.994
Episode    3 | score=  1452 | reward=   14.52 | moves= 151 | max_tile=  128 | eps=0.991
Episode    4 | score=  1260 | reward=   12.60 | moves= 132 | max_tile=  128 | eps=0.988
Episode    5 | score=  3004 | reward=   30.04 | moves= 248 | max_tile=  256 | eps=0.985
Episode    6 | score=  2044 | reward=   20.44 | moves= 193 | max_tile=  128 | eps=0.982
Episode    7 | score=  1240 | reward=   12.40 | moves= 128 | max_tile=  128 | eps=0.979
Episode    8 | score=  1784 | reward=   17.84 | moves= 168 | max_tile=  128 | eps=0.976
Episode    9 | score=   896 | reward=    8.96 | moves=  95 | max_tile=  128 | eps=0.973
Episode   10 | score=  1080 | reward=   10.80 | moves= 120 | max_tile=  128 | eps=0.970
Episode   11 | score=  2224 | reward=   22.24 | moves= 187 | max_tile=  256 | eps=0.967
Episode   12 | score=   600 | reward=    6.00 | moves=  83 | max_tile=   64 | eps=0.965
Episode   13 | score=  1132 | reward=   11.32 | moves= 122 | max_tile=  128 | eps=0.962
Episode   14 | score=   948 | reward=    9.48 | moves= 118 | max_tile=   64 | eps=0.959
Episode   15 | score=   672 | reward=    6.72 | moves=  90 | max_tile=   64 | eps=0.956
Episode   16 | score=   432 | reward=    4.32 | moves=  63 | max_tile=   64 | eps=0.953
Episode   17 | score=   620 | reward=    6.20 | moves=  85 | max_tile=   64 | eps=0.950
Episode   18 | score=  1500 | reward=   15.00 | moves= 151 | max_tile=  128 | eps=0.947
Episode   19 | score=   740 | reward=    7.40 | moves=  99 | max_tile=   64 | eps=0.945
Episode   20 | score=  1648 | reward=   16.48 | moves= 163 | max_tile=  128 | eps=0.942
Episode   21 | score=  1676 | reward=   16.76 | moves= 155 | max_tile=  128 | eps=0.939
Episode   22 | score=  1264 | reward=   12.64 | moves= 133 | max_tile=  128 | eps=0.936
Episode   23 | score=  1368 | reward=   13.68 | moves= 143 | max_tile=  128 | eps=0.933
Episode   24 | score=   660 | reward=    6.60 | moves=  88 | max_tile=   64 | eps=0.930
Episode   25 | score=  1088 | reward=   10.88 | moves= 115 | max_tile=  128 | eps=0.928
Episode   26 | score=  1124 | reward=   11.24 | moves= 126 | max_tile=  128 | eps=0.925
Episode   27 | score=   636 | reward=    6.36 | moves=  83 | max_tile=   64 | eps=0.922
Episode   28 | score=  2148 | reward=   21.48 | moves= 182 | max_tile=  256 | eps=0.919
Episode   29 | score=   896 | reward=    8.96 | moves= 113 | max_tile=   64 | eps=0.917
Episode   30 | score=  2220 | reward=   22.20 | moves= 185 | max_tile=  256 | eps=0.914
Episode   31 | score=  2084 | reward=   20.84 | moves= 178 | max_tile=  256 | eps=0.911
Episode   32 | score=   468 | reward=    4.68 | moves=  72 | max_tile=   32 | eps=0.908
Episode   33 | score=  2708 | reward=   27.08 | moves= 231 | max_tile=  256 | eps=0.906
Episode   34 | score=  2164 | reward=   21.64 | moves= 185 | max_tile=  256 | eps=0.903
Episode   35 | score=  1048 | reward=   10.48 | moves= 113 | max_tile=  128 | eps=0.900
Episode   36 | score=   628 | reward=    6.28 | moves=  88 | max_tile=   64 | eps=0.897
Episode   37 | score=  1568 | reward=   15.68 | moves= 160 | max_tile=  128 | eps=0.895
Episode   38 | score=   972 | reward=    9.72 | moves= 117 | max_tile=   64 | eps=0.892
Episode   39 | score=  1216 | reward=   12.16 | moves= 130 | max_tile=  128 | eps=0.889
Episode   40 | score=   604 | reward=    6.04 | moves=  84 | max_tile=   64 | eps=0.887
Episode   41 | score=   760 | reward=    7.60 | moves=  96 | max_tile=   64 | eps=0.884
Episode   42 | score=  1052 | reward=   10.52 | moves= 114 | max_tile=  128 | eps=0.881
Episode   43 | score=   580 | reward=    5.80 | moves=  80 | max_tile=   64 | eps=0.879
Episode   44 | score=   784 | reward=    7.84 | moves=  98 | max_tile=   64 | eps=0.876
Episode   45 | score=   548 | reward=    5.48 | moves=  76 | max_tile=   64 | eps=0.874
Episode   46 | score=   880 | reward=    8.80 | moves=  93 | max_tile=  128 | eps=0.871
Episode   47 | score=   648 | reward=    6.48 | moves=  85 | max_tile=   64 | eps=0.868
Episode   48 | score=  1404 | reward=   14.04 | moves= 151 | max_tile=  128 | eps=0.866
Episode   49 | score=   336 | reward=    3.36 | moves=  56 | max_tile=   32 | eps=0.863
Episode   50 | score=  1092 | reward=   10.92 | moves= 122 | max_tile=  128 | eps=0.861
Episode   51 | score=   584 | reward=    5.84 | moves=  79 | max_tile=   64 | eps=0.858
Episode   52 | score=  1480 | reward=   14.80 | moves= 156 | max_tile=  128 | eps=0.855
Episode   53 | score=  2752 | reward=   27.52 | moves= 227 | max_tile=  256 | eps=0.853
Episode   54 | score=   704 | reward=    7.04 | moves=  93 | max_tile=   64 | eps=0.850
Episode   55 | score=  1128 | reward=   11.28 | moves= 120 | max_tile=  128 | eps=0.848
Episode   56 | score=   696 | reward=    6.96 | moves=  92 | max_tile=   64 | eps=0.845
Episode   57 | score=  1024 | reward=   10.24 | moves= 110 | max_tile=  128 | eps=0.843
Episode   58 | score=   772 | reward=    7.72 | moves=  90 | max_tile=   64 | eps=0.840
Episode   59 | score=  1244 | reward=   12.44 | moves= 129 | max_tile=  128 | eps=0.838
Episode   60 | score=   476 | reward=    4.76 | moves=  70 | max_tile=   64 | eps=0.835
Episode   61 | score=   680 | reward=    6.80 | moves=  89 | max_tile=   64 | eps=0.833
Episode   62 | score=  1372 | reward=   13.72 | moves= 144 | max_tile=  128 | eps=0.830
Episode   63 | score=  1172 | reward=   11.72 | moves= 130 | max_tile=  128 | eps=0.828
Episode   64 | score=  2132 | reward=   21.32 | moves= 178 | max_tile=  256 | eps=0.825
Episode   65 | score=  1508 | reward=   15.08 | moves= 150 | max_tile=  128 | eps=0.823
Episode   66 | score=   980 | reward=    9.80 | moves= 118 | max_tile=   64 | eps=0.820
Episode   67 | score=   768 | reward=    7.68 | moves=  94 | max_tile=   64 | eps=0.818
Episode   68 | score=  1116 | reward=   11.16 | moves= 124 | max_tile=  128 | eps=0.815
Episode   69 | score=  3044 | reward=   30.44 | moves= 251 | max_tile=  256 | eps=0.813
Episode   70 | score=  1352 | reward=   13.52 | moves= 140 | max_tile=  128 | eps=0.810
Episode   71 | score=  1164 | reward=   11.64 | moves= 118 | max_tile=  128 | eps=0.808
Episode   72 | score=  1360 | reward=   13.60 | moves= 142 | max_tile=  128 | eps=0.805
Episode   73 | score=  1368 | reward=   13.68 | moves= 143 | max_tile=  128 | eps=0.803
Episode   74 | score=  1064 | reward=   10.64 | moves= 113 | max_tile=  128 | eps=0.801
Episode   75 | score=  1748 | reward=   17.48 | moves= 167 | max_tile=  128 | eps=0.798
Episode   76 | score=  1024 | reward=   10.24 | moves= 110 | max_tile=  128 | eps=0.796
Episode   77 | score=   436 | reward=    4.36 | moves=  71 | max_tile=   32 | eps=0.793
Episode   78 | score=  1176 | reward=   11.76 | moves= 127 | max_tile=  128 | eps=0.791
Episode   79 | score=   680 | reward=    6.80 | moves=  88 | max_tile=   64 | eps=0.789
Episode   80 | score=   508 | reward=    5.08 | moves=  73 | max_tile=   64 | eps=0.786
Episode   81 | score=   808 | reward=    8.08 | moves=  94 | max_tile=   64 | eps=0.784
Episode   82 | score=   660 | reward=    6.60 | moves=  85 | max_tile=   64 | eps=0.782
Episode   83 | score=   564 | reward=    5.64 | moves=  76 | max_tile=   64 | eps=0.779
Episode   84 | score=   500 | reward=    5.00 | moves=  72 | max_tile=   64 | eps=0.777
Episode   85 | score=   824 | reward=    8.24 | moves=  98 | max_tile=   64 | eps=0.775
Episode   86 | score=   652 | reward=    6.52 | moves=  87 | max_tile=   64 | eps=0.772
Episode   87 | score=  1112 | reward=   11.12 | moves= 120 | max_tile=  128 | eps=0.770
Episode   88 | score=   576 | reward=    5.76 | moves=  80 | max_tile=   64 | eps=0.768
Episode   89 | score=   324 | reward=    3.24 | moves=  60 | max_tile=   32 | eps=0.765
