Episode     1 | score=  2040 | reward=   20.40 | moves= 194 | max_tile=  128
Episode     2 | score=  2128 | reward=   21.28 | moves= 177 | max_tile=  256
Episode     3 | score=  1164 | reward=   11.64 | moves= 124 | max_tile=  128
Episode     4 | score=   956 | reward=    9.56 | moves= 114 | max_tile=   64
Episode     5 | score=  1324 | reward=   13.24 | moves= 134 | max_tile=  128
Episode     6 | score=   936 | reward=    9.36 | moves= 114 | max_tile=   64
Episode     7 | score=   636 | reward=    6.36 | moves=  89 | max_tile=   64
Episode     8 | score=  1456 | reward=   14.56 | moves= 154 | max_tile=  128
Episode     9 | score=  2356 | reward=   23.56 | moves= 199 | max_tile=  256
Episode    10 | score=  2144 | reward=   21.44 | moves= 179 | max_tile=  256
Episode    11 | score=  1740 | reward=   17.40 | moves= 162 | max_tile=  128
Episode    12 | score=  2772 | reward=   27.72 | moves= 226 | max_tile=  256
Episode    13 | score=  1724 | reward=   17.24 | moves= 162 | max_tile=  128
Episode    14 | score=  2024 | reward=   20.24 | moves= 189 | max_tile=  128
Episode    15 | score=  2156 | reward=   21.56 | moves= 203 | max_tile=  128
Episode    16 | score=   856 | reward=    8.56 | moves= 105 | max_tile=   64
Episode    17 | score=  1340 | reward=   13.40 | moves= 137 | max_tile=  128
Episode    18 | score=  1568 | reward=   15.68 | moves= 158 | max_tile=  128
Episode    19 | score=  1276 | reward=   12.76 | moves= 136 | max_tile=  128
Episode    20 | score=  1360 | reward=   13.60 | moves= 138 | max_tile=  128
Episode    21 | score=  1324 | reward=   13.24 | moves= 136 | max_tile=  128
Episode    22 | score=  1048 | reward=   10.48 | moves= 112 | max_tile=  128
Episode    23 | score=  1212 | reward=   12.12 | moves= 129 | max_tile=  128
Episode    24 | score=  1316 | reward=   13.16 | moves= 135 | max_tile=  128
Episode    25 | score=   516 | reward=    5.16 | moves=  76 | max_tile=   64
Episode    26 | score=  1376 | reward=   13.76 | moves= 145 | max_tile=  128
Episode    27 | score=  1464 | reward=   14.64 | moves= 152 | max_tile=  128
Episode    28 | score=  1588 | reward=   15.88 | moves= 159 | max_tile=  128
Episode    29 | score=   852 | reward=    8.52 | moves= 102 | max_tile=   64
Episode    30 | score=   356 | reward=    3.56 | moves=  61 | max_tile=   32
Episode    31 | score=  1332 | reward=   13.32 | moves= 139 | max_tile=  128
Episode    32 | score=   860 | reward=    8.60 | moves= 102 | max_tile=   64
Episode    33 | score=  2348 | reward=   23.48 | moves= 201 | max_tile=  256
Episode    34 | score=  2316 | reward=   23.16 | moves= 194 | max_tile=  256
Episode    35 | score=  2168 | reward=   21.68 | moves= 186 | max_tile=  256
Episode    36 | score=  1156 | reward=   11.56 | moves= 134 | max_tile=   64
Episode    37 | score=  1304 | reward=   13.04 | moves= 136 | max_tile=  128
Episode    38 | score=   744 | reward=    7.44 | moves=  99 | max_tile=   64
Episode    39 | score=   764 | reward=    7.64 | moves= 103 | max_tile=   64
Episode    40 | score=  1128 | reward=   11.28 | moves= 120 | max_tile=  128
Episode    41 | score=   644 | reward=    6.44 | moves=  91 | max_tile=   64
Episode    42 | score=   624 | reward=    6.24 | moves=  86 | max_tile=   64
Episode    43 | score=  1012 | reward=   10.12 | moves= 108 | max_tile=  128
Episode    44 | score=  1296 | reward=   12.96 | moves= 132 | max_tile=  128
Episode    45 | score=  1984 | reward=   19.84 | moves= 160 | max_tile=  256
Episode    46 | score=   704 | reward=    7.04 | moves=  93 | max_tile=   64
Episode    47 | score=   592 | reward=    5.92 | moves=  82 | max_tile=   64
Episode    48 | score=  2712 | reward=   27.12 | moves= 221 | max_tile=  256
Episode    49 | score=  1408 | reward=   14.08 | moves= 146 | max_tile=  128
Episode    50 | score=  1328 | reward=   13.28 | moves= 135 | max_tile=  128
Episode    51 | score=   664 | reward=    6.64 | moves=  89 | max_tile=   64
Episode    52 | score=  1472 | reward=   14.72 | moves= 156 | max_tile=  128
Episode    53 | score=  2200 | reward=   22.00 | moves= 178 | max_tile=  256
Episode    54 | score=  1760 | reward=   17.60 | moves= 167 | max_tile=  128
Episode    55 | score=  2492 | reward=   24.92 | moves= 216 | max_tile=  256
Episode    56 | score=  1432 | reward=   14.32 | moves= 148 | max_tile=  128
Episode    57 | score=   584 | reward=    5.84 | moves=  80 | max_tile=   64
Episode    58 | score=  1412 | reward=   14.12 | moves= 148 | max_tile=  128
Episode    59 | score=   708 | reward=    7.08 | moves=  94 | max_tile=   64
Episode    60 | score=   824 | reward=    8.24 | moves= 103 | max_tile=   64
Episode    61 | score=  1288 | reward=   12.88 | moves= 129 | max_tile=  128
Episode    62 | score=   824 | reward=    8.24 | moves=  98 | max_tile=   64
Episode    63 | score=   488 | reward=    4.88 | moves=  67 | max_tile=   64
Episode    64 | score=  1456 | reward=   14.56 | moves= 152 | max_tile=  128
Episode    65 | score=  1208 | reward=   12.08 | moves= 128 | max_tile=  128
Episode    66 | score=  1008 | reward=   10.08 | moves= 107 | max_tile=  128
Episode    67 | score=   944 | reward=    9.44 | moves= 116 | max_tile=   64
Episode    68 | score=   624 | reward=    6.24 | moves=  86 | max_tile=   64
Episode    69 | score=   728 | reward=    7.28 | moves=  98 | max_tile=   64
Episode    70 | score=   960 | reward=    9.60 | moves= 111 | max_tile=   64
Episode    71 | score=  1056 | reward=   10.56 | moves= 118 | max_tile=  128
Episode    72 | score=  1352 | reward=   13.52 | moves= 139 | max_tile=  128
Episode    73 | score=  2124 | reward=   21.24 | moves= 178 | max_tile=  256
Episode    74 | score=  2480 | reward=   24.80 | moves= 213 | max_tile=  256
Episode    75 | score=  1440 | reward=   14.40 | moves= 149 | max_tile=  128
Episode    76 | score=  1476 | reward=   14.76 | moves= 154 | max_tile=  128
Episode    77 | score=   880 | reward=    8.80 | moves= 106 | max_tile=   64
Episode    78 | score=  1500 | reward=   15.00 | moves= 143 | max_tile=  128
Episode    79 | score=  1304 | reward=   13.04 | moves= 136 | max_tile=  128
Episode    80 | score=   648 | reward=    6.48 | moves=  85 | max_tile=   64
Episode    81 | score=  1428 | reward=   14.28 | moves= 147 | max_tile=  128
Episode    82 | score=   792 | reward=    7.92 | moves=  96 | max_tile=   64
Episode    83 | score=   724 | reward=    7.24 | moves=  95 | max_tile=   64
Episode    84 | score=   732 | reward=    7.32 | moves=  97 | max_tile=   64
Episode    85 | score=   940 | reward=    9.40 | moves= 101 | max_tile=  128
Episode    86 | score=  1204 | reward=   12.04 | moves= 123 | max_tile=  128
Episode    87 | score=  1324 | reward=   13.24 | moves= 136 | max_tile=  128
Episode    88 | score=  1272 | reward=   12.72 | moves= 128 | max_tile=  128
Episode    89 | score=  2512 | reward=   25.12 | moves= 203 | max_tile=  256
Episode    90 | score=  1276 | reward=   12.76 | moves= 136 | max_tile=  128
Episode    91 | score=   804 | reward=    8.04 | moves=  97 | max_tile=   64
Episode    92 | score=   656 | reward=    6.56 | moves=  92 | max_tile=   64
Episode    93 | score=  2400 | reward=   24.00 | moves= 198 | max_tile=  256
Episode    94 | score=  1256 | reward=   12.56 | moves= 129 | max_tile=  128
Episode    95 | score=  1720 | reward=   17.20 | moves= 171 | max_tile=  128
Episode    96 | score=   396 | reward=    3.96 | moves=  65 | max_tile=   32
Episode    97 | score=  1180 | reward=   11.80 | moves= 121 | max_tile=  128
Episode    98 | score=  2480 | reward=   24.80 | moves= 208 | max_tile=  256
Episode    99 | score=  2080 | reward=   20.80 | moves= 172 | max_tile=  256
Episode   100 | score=  1016 | reward=   10.16 | moves= 124 | max_tile=   64
Episode   100: avg score=  1329.6 | avg reward=    13.3 | best tile= 256 | epsilon=0.246
Episode   101 | score=  1572 | reward=   15.72 | moves= 155 | max_tile=  128
Episode   102 | score=  1332 | reward=   13.32 | moves= 138 | max_tile=  128
Episode   103 | score=   924 | reward=    9.24 | moves= 110 | max_tile=   64
Episode   104 | score=  1436 | reward=   14.36 | moves= 147 | max_tile=  128
Episode   105 | score=   616 | reward=    6.16 | moves=  84 | max_tile=   64
Episode   106 | score=  1108 | reward=   11.08 | moves= 120 | max_tile=  128
Episode   107 | score=  2376 | reward=   23.76 | moves= 196 | max_tile=  256
Episode   108 | score=  1156 | reward=   11.56 | moves= 123 | max_tile=  128
Episode   109 | score=   848 | reward=    8.48 | moves= 109 | max_tile=   64
Episode   110 | score=  1168 | reward=   11.68 | moves= 129 | max_tile=  128
Episode   111 | score=  3088 | reward=   30.88 | moves= 257 | max_tile=  256
Episode   112 | score=  1708 | reward=   17.08 | moves= 157 | max_tile=  128
Episode   113 | score=  1300 | reward=   13.00 | moves= 132 | max_tile=  128
Episode   114 | score=  1036 | reward=   10.36 | moves= 114 | max_tile=  128
Episode   115 | score=  1696 | reward=   16.96 | moves= 169 | max_tile=  128
Episode   116 | score=  2452 | reward=   24.52 | moves= 206 | max_tile=  256
Episode   117 | score=   512 | reward=    5.12 | moves=  78 | max_tile=   32
Episode   118 | score=   236 | reward=    2.36 | moves=  50 | max_tile=   16
Episode   119 | score=  2072 | reward=   20.72 | moves= 189 | max_tile=  128
Episode   120 | score=   576 | reward=    5.76 | moves=  79 | max_tile=   64
Episode   121 | score=  1384 | reward=   13.84 | moves= 146 | max_tile=  128
Episode   122 | score=   692 | reward=    6.92 | moves=  92 | max_tile=   64
Episode   123 | score=  1300 | reward=   13.00 | moves= 135 | max_tile=  128
Episode   124 | score=  2796 | reward=   27.96 | moves= 227 | max_tile=  256
Episode   125 | score=   544 | reward=    5.44 | moves=  74 | max_tile=   64
Episode   126 | score=  1348 | reward=   13.48 | moves= 139 | max_tile=  128
Episode   127 | score=  2444 | reward=   24.44 | moves= 209 | max_tile=  256
Episode   128 | score=  1636 | reward=   16.36 | moves= 162 | max_tile=  128
Episode   129 | score=  1136 | reward=   11.36 | moves= 125 | max_tile=   64
Episode   130 | score=  1464 | reward=   14.64 | moves= 155 | max_tile=  128
Episode   131 | score=  1584 | reward=   15.84 | moves= 157 | max_tile=  128
Episode   132 | score=  1096 | reward=   10.96 | moves= 123 | max_tile=  128
Episode   133 | score=   648 | reward=    6.48 | moves=  88 | max_tile=   64
Episode   134 | score=  2576 | reward=   25.76 | moves= 214 | max_tile=  256
Episode   135 | score=   580 | reward=    5.80 | moves=  79 | max_tile=   64
Episode   136 | score=   684 | reward=    6.84 | moves=  90 | max_tile=   64
Episode   137 | score=  1660 | reward=   16.60 | moves= 154 | max_tile=  128
Episode   138 | score=  1312 | reward=   13.12 | moves= 134 | max_tile=  128
Episode   139 | score=  1052 | reward=   10.52 | moves= 113 | max_tile=  128
Episode   140 | score=   716 | reward=    7.16 | moves=  96 | max_tile=   64
Episode   141 | score=  2104 | reward=   21.04 | moves= 177 | max_tile=  256
Episode   142 | score=   628 | reward=    6.28 | moves=  88 | max_tile=   64
Episode   143 | score=   664 | reward=    6.64 | moves=  86 | max_tile=   64
Episode   144 | score=  1436 | reward=   14.36 | moves= 150 | max_tile=  128
Episode   145 | score=   400 | reward=    4.00 | moves=  63 | max_tile=   32
Episode   146 | score=  1300 | reward=   13.00 | moves= 132 | max_tile=  128
Episode   147 | score=   680 | reward=    6.80 | moves=  94 | max_tile=   64
Episode   148 | score=   696 | reward=    6.96 | moves=  95 | max_tile=   64
Episode   149 | score=   908 | reward=    9.08 | moves=  99 | max_tile=  128
Episode   150 | score=   636 | reward=    6.36 | moves=  82 | max_tile=   64
Episode   151 | score=  1008 | reward=   10.08 | moves= 108 | max_tile=  128
Episode   152 | score=  1200 | reward=   12.00 | moves= 123 | max_tile=  128
Episode   153 | score=  2152 | reward=   21.52 | moves= 184 | max_tile=  256
Episode   154 | score=  1268 | reward=   12.68 | moves= 131 | max_tile=  128
Episode   155 | score=  1144 | reward=   11.44 | moves= 124 | max_tile=  128
Episode   156 | score=  2224 | reward=   22.24 | moves= 190 | max_tile=  256
Episode   157 | score=  1628 | reward=   16.28 | moves= 164 | max_tile=  128
Episode   158 | score=   836 | reward=    8.36 | moves= 100 | max_tile=   64
Episode   159 | score=  2416 | reward=   24.16 | moves= 206 | max_tile=  256
Episode   160 | score=  2056 | reward=   20.56 | moves= 172 | max_tile=  256
Episode   161 | score=   700 | reward=    7.00 | moves=  93 | max_tile=   64
Episode   162 | score=  1272 | reward=   12.72 | moves= 130 | max_tile=  128
Episode   163 | score=  1476 | reward=   14.76 | moves= 153 | max_tile=  128
Episode   164 | score=  1344 | reward=   13.44 | moves= 141 | max_tile=  128
Episode   165 | score=  1776 | reward=   17.76 | moves= 168 | max_tile=  128
Episode   166 | score=   796 | reward=    7.96 | moves= 100 | max_tile=   64
Episode   167 | score=  3156 | reward=   31.56 | moves= 258 | max_tile=  256
Episode   168 | score=   628 | reward=    6.28 | moves=  86 | max_tile=   64
Episode   169 | score=   884 | reward=    8.84 | moves= 110 | max_tile=   64
Episode   170 | score=  1116 | reward=   11.16 | moves= 117 | max_tile=  128
Episode   171 | score=  2396 | reward=   23.96 | moves= 204 | max_tile=  256
Episode   172 | score=  1108 | reward=   11.08 | moves= 122 | max_tile=  128
Episode   173 | score=  2564 | reward=   25.64 | moves= 217 | max_tile=  256
Episode   174 | score=  1468 | reward=   14.68 | moves= 155 | max_tile=  128
Episode   175 | score=  1460 | reward=   14.60 | moves= 144 | max_tile=  128
Episode   176 | score=  1408 | reward=   14.08 | moves= 145 | max_tile=  128
Episode   177 | score=  1332 | reward=   13.32 | moves= 138 | max_tile=  128
