episode,score,reward,moves,max_tile,epsilon
1,2216,22.159999999999968,192,256,0.997
2,912,9.119999999999997,99,128,0.994009
3,1452,14.519999999999985,151,128,0.991026973
4,1260,12.599999999999993,132,128,0.988053892081
5,3004,30.039999999999957,248,256,0.985089730404757
6,2044,20.43999999999998,193,128,0.9821344612135428
7,1240,12.399999999999988,128,128,0.9791880578299021
8,1784,17.839999999999982,168,128,0.9762504936564125
9,896,8.959999999999999,95,128,0.9733217421754432
10,1080,10.79999999999999,120,128,0.9704017769489168
11,2224,22.23999999999998,187,256,0.9674905716180701
12,600,6.000000000000003,83,64,0.9645880999032158
13,1132,11.319999999999997,122,128,0.9616943356035061
14,948,9.479999999999997,118,64,0.9588092525966956
15,672,6.720000000000003,90,64,0.9559328248389055
16,432,4.320000000000001,63,64,0.9530650263643888
17,620,6.200000000000003,85,64,0.9502058312852957
18,1500,14.999999999999988,151,128,0.9473552137914398
19,740,7.400000000000003,99,64,0.9445131481500655
20,1648,16.479999999999983,163,128,0.9416796087056153
21,1676,16.759999999999987,155,128,0.9388545698794984
22,1264,12.639999999999988,133,128,0.93603800616986
23,1368,13.679999999999989,143,128,0.9332298921513504
24,660,6.600000000000003,88,64,0.9304302024748964
25,1088,10.879999999999995,115,128,0.9276389118674717
26,1124,11.239999999999995,126,128,0.9248559951318693
27,636,6.360000000000002,83,64,0.9220814271464737
28,2148,21.47999999999997,182,256,0.9193151828650342
29,896,8.959999999999999,113,64,0.9165572373164391
30,2220,22.19999999999997,185,256,0.9138075656044898
31,2084,20.839999999999986,178,256,0.9110661429076764
32,468,4.680000000000002,72,32,0.9083329444789534
33,2708,27.07999999999995,231,256,0.9056079456455165
34,2164,21.63999999999998,185,256,0.90289112180858
35,1048,10.48,113,128,0.9001824484431542
36,628,6.280000000000003,88,64,0.8974819010978248
37,1568,15.679999999999987,160,128,0.8947894553945313
38,972,9.720000000000002,117,64,0.8921050870283477
39,1216,12.159999999999991,130,128,0.8894287717672626
40,604,6.040000000000002,84,64,0.8867604854519608
41,760,7.600000000000002,96,64,0.884100203995605
42,1052,10.519999999999992,114,128,0.8814479033836181
43,580,5.800000000000002,80,64,0.8788035596734672
44,784,7.840000000000003,98,64,0.8761671489944468
45,548,5.480000000000001,76,64,0.8735386475474635
46,880,8.8,93,128,0.8709180316048211
47,648,6.480000000000003,85,64,0.8683052775100066
48,1404,14.03999999999999,151,128,0.8657003616774767
49,336,3.3600000000000008,56,32,0.8631032605924442
50,1092,10.919999999999987,122,128,0.860513950810667
51,584,5.840000000000003,79,64,0.857932408958235
52,1480,14.799999999999983,156,128,0.8553586117313603
53,2752,27.519999999999953,227,256,0.8527925358961662
54,704,7.040000000000004,93,64,0.8502341582884777
55,1128,11.279999999999996,120,128,0.8476834558136123
56,696,6.960000000000003,92,64,0.8451404054461714
57,1024,10.239999999999998,110,128,0.8426049842298329
58,772,7.720000000000002,90,64,0.8400771692771434
59,1244,12.43999999999999,129,128,0.837556937769312
60,476,4.760000000000001,70,64,0.835044266956004
61,680,6.800000000000003,89,64,0.8325391341551359
62,1372,13.719999999999992,144,128,0.8300415167526705
63,1172,11.719999999999994,130,128,0.8275513922024125
64,2132,21.31999999999998,178,256,0.8250687380258053
65,1508,15.07999999999998,150,128,0.8225935318117279
66,980,9.799999999999997,118,64,0.8201257512162927
67,768,7.680000000000002,94,64,0.8176653739626438
68,1116,11.159999999999993,124,128,0.8152123778407558
69,3044,30.439999999999944,251,256,0.8127667407072335
70,1352,13.519999999999985,140,128,0.8103284404851119
71,1164,11.639999999999993,118,128,0.8078974551636565
72,1360,13.599999999999984,142,128,0.8054737627981655
73,1368,13.67999999999999,143,128,0.803057341509771
74,1064,10.639999999999995,113,128,0.8006481694852418
