episode,score,reward,moves,max_tile,epsilon
1,2216,2206.249999999999,192,256,0.995
2,912,909.5374999999997,99,128,0.990025
3,1536,1527.6874999999989,157,128,0.985074875
4,892,886.5374999999998,109,64,0.9801495006250001
5,2116,2107.437499999998,175,256,0.9752487531218751
6,636,632.4124999999999,88,64,0.9703725093562657
7,1304,1297.987499999999,136,128,0.9655206468094844
8,908,904.1249999999994,110,64,0.960693043575437
9,652,649.4875,91,64,0.9558895783575597
10,1776,1769.062499999999,168,128,0.9511101304657719
11,604,601.7125,84,64,0.946354579813443
12,1360,1354.2999999999993,142,128,0.9416228069143757
13,1432,1425.924999999999,151,128,0.9369146928798039
14,1040,1034.975,111,128,0.9322301194154049
15,700,696.6749999999998,93,64,0.9275689688183278
16,1016,1014.8999999999997,109,128,0.9229311239742362
17,1676,1669.6874999999986,159,128,0.918316468354365
18,1596,1589.0124999999985,161,128,0.9137248860125932
19,1096,1090.4374999999993,120,128,0.9091562615825302
20,1252,1249.187499999999,130,128,0.9046104802746175
21,1452,1443.8749999999984,151,128,0.9000874278732445
22,1328,1324.2375000000002,138,128,0.8955869907338783
23,1020,1014.7999999999998,110,128,0.8911090557802088
24,716,714.0999999999999,93,64,0.8866535105013078
25,1260,1254.0124999999991,135,128,0.8822202429488013
26,1308,1303.9500000000007,134,128,0.8778091417340573
27,1044,1038.3499999999997,112,128,0.8734200960253871
28,1112,1105.4624999999985,130,64,0.8690529955452602
29,1380,1374.4624999999983,140,128,0.8647077305675338
30,696,692.6499999999996,95,64,0.8603841919146962
31,2072,2062.4124999999985,169,256,0.8560822709551227
32,700,696.275,93,64,0.851801859600347
33,1768,1761.1874999999995,168,128,0.8475428503023453
34,1432,1427.2624999999996,148,128,0.8433051360508336
35,1216,1212.5374999999992,131,128,0.8390886103705794
36,1316,1310.449999999999,139,128,0.8348931673187264
37,884,880.1124999999997,106,64,0.8307187014821328
38,1532,1523.724999999999,160,128,0.8265651079747222
39,1296,1291.2374999999995,134,128,0.8224322824348486
40,732,728.3874999999999,98,64,0.8183201210226743
41,1404,1396.8374999999985,148,128,0.8142285204175609
42,988,982.7374999999996,118,64,0.810157377815473
43,1324,1317.537499999999,137,128,0.8061065909263957
44,1380,1373.0874999999983,142,128,0.8020760579717637
45,1132,1127.2499999999993,119,128,0.798065677681905
46,1324,1317.4374999999998,137,128,0.7940753492934954
47,2376,2365.8374999999987,203,256,0.7901049725470279
48,2636,2624.274999999999,208,256,0.7861544476842928
49,1180,1173.9874999999995,129,128,0.7822236754458713
50,1272,1265.787499999999,129,128,0.778312557068642
